Type,Name,Nationality/Country,Date_Info,Data_ID,Reference
"Individual (개인)","HAROUN GAYE","","1968-01-30","6908495","CFi.007"
"Individual (개인)","EUGÈNE BARRET NGAÏKOSSET","","1967-10-08","6908496","CFi.008"
"Individual (개인)","JOSEPH KONY","Uganda","1964-09-18","6908538","CFi.009"
"Individual (개인)","ALI KONY","","","6908549","CFi.010"
"Individual (개인)","SALIM KONY","","","6908550","CFi.011"
"Individual (개인)","ABDOULAYE HISSENE","Central African Republic","1967-01-01","6908579","CFi.012"
"Individual (개인)","MARTIN KOUMTAMADJI","Chad","1965-10-05","6908840","CFi.013"
"Individual (개인)","BI SIDI SOULEMAN","Central African Republic","1962-07-20","6908845","CFi.014"
"Individual (개인)","ALI DARASSA","Central African Republic","1978-09-22","6908867","CFi.015"
"Individual (개인)","IBRAIMA CAMARÁ","Guinea-Bissau","1964-05-11","690789","GBi.001"
"Individual (개인)","CRANHA DANFA","Guinea-Bissau","1957-03-05","690791","GBi.003"
"Individual (개인)","IDRISSA DJALÓ","Guinea-Bissau","1954-12-18","690792","GBi.004"
"Individual (개인)","ANTÓNIO INJAI","Guinea-Bissau","1955-01-20","690793","GBi.005"
"Individual (개인)","TCHIPA NA BIDON","Guinea-Bissau","1954-05-28","690794","GBi.006"
"Individual (개인)","TCHAM NA MAN","Guinea-Bissau","1953-02-27","690795","GBi.007"
"Individual (개인)","ESTÊVÃO NA MENA","Guinea-Bissau","1956-03-07","690796","GBi.008"
"Individual (개인)","DABA NAUALNA","Guinea-Bissau","1966-06-06","690797","GBi.009"
"Individual (개인)","JÚLIO NHATE","Guinea-Bissau","1965-09-28","690798","GBi.010"
"Individual (개인)","MAMADU TURE","Guinea-Bissau","1947-04-26","6907984","GBi.011"
"Individual (개인)","JIMMY CHERIZIER","Haiti","1977-03-30","6908911","HTi.001"
"Individual (개인)","JOHNSON ANDRE","Haiti","","6909378","HTi.002"
"Individual (개인)","RENEL DESTINA","Haiti","1982-06-11","6909380","HTi.003"
"Individual (개인)","WILSON JOSEPH","Haiti","1993-02-28","6909382","HTi.004"
"Individual (개인)","VITELHOMME INNOCENT","Haiti","1986-03-27","6909384","HTi.005"
"Individual (개인)","PROPHANE VICTOR","Haiti","","6909386","HTi.006"
"Individual (개인)","LUCKSON ELAN","Haiti","1988-01-06","6909388","HTi.007"
"Individual (개인)","DIMITRI HERARD","","","6909474","HTi.008"
"Individual (개인)","KEMPES SANON","","","6909475","HTi.009"
"Individual (개인)","SADDAM HUSSEIN AL-TIKRITI","Iraq","1937-04-28","6908048","IQi.001"
"Individual (개인)","QUSAY SADDAM HUSSEIN AL-TIKRITI","Iraq","","6908049","IQi.002"
"Individual (개인)","UDAY SADDAM HUSSEIN AL-TIKRITI","Iraq","","6908050","IQi.003"
"Individual (개인)","ABID HAMID MAHMUD AL-TIKRITI","Iraq","","6908051","IQi.004"
"Individual (개인)","ALI HASSAN AL-MAJID AL-TIKRITI","Iraq","","6908052","IQi.005"
"Individual (개인)","IZZAT IBRAHIM AL-DURI","Iraq","","6908053","IQi.006"
"Individual (개인)","HANI ABD-AL-LATIF TILFAH AL-TIKRITI","Iraq","","6908054","IQi.007"
"Individual (개인)","MUHAMMAD HAMZA ZUBAIDI","Iraq","","6908056","IQi.009"
"Individual (개인)","BARZAN ABD AL-GHAFUR SULAIMAN MAJID AL-TIKRITI","Iraq","","6908058","IQi.011"
"Individual (개인)","MUZAHIM SA'B HASSAN AL-TIKRITI","Iraq","","6908059","IQi.012"
"Individual (개인)","IBRAHIM AHMAD ABD AL-SATTAR MUHAMMED AL-TIKRITI","Iraq","","6908060","IQi.013"
"Individual (개인)","SAIF-AL-DIN FULAYYIH HASSAN TAHA AL-RAWI","Iraq","","6908061","IQi.014"
"Individual (개인)","RAFI ABD-AL-LATIF TILFAH AL-TIKRITI","Iraq","","6908062","IQi.015"
"Individual (개인)","TAHIR JALIL HABBUSH AL-TIKRITI","Iraq","","6908063","IQi.016"
"Individual (개인)","HAMID RAJA SHALAH AL-TIKRITI","Iraq","","6908064","IQi.017"
"Individual (개인)","ABD-AL-TAWWAB MULLAH HUWAYSH","Iraq","1942-03-14","6908066","IQi.019"
"Individual (개인)","TAHA YASSIN RAMADAN AL-JIZRAWI","Iraq","","6908067","IQi.020"
"Individual (개인)","RUKAN RAZUKI ABD-AL-GHAFUR SULAIMAN AL-TIKRITI","Iraq","","6908068","IQi.021"
"Individual (개인)","JAMAL MUSTAFA ABDALLAH SULTAN AL-TIKRITI","Iraq","1955-05-04","6908069","IQi.022"
"Individual (개인)","MIZBAN KHADR HADI","Iraq","","6908070","IQi.023"
"Individual (개인)","TAHA MUHYI-AL-DIN MA'RUF","Iraq","","6908071","IQi.024"
"Individual (개인)","TARIQ AZIZ","Iraq","1936-07-01","6908072","IQi.025"
"Individual (개인)","SULTAN HASHIM AHMAD AL-TA'I","Iraq","","6908074","IQi.027"
"Individual (개인)","HIKMAT MIZBAN IBRAHIM AL-AZZAWI","Iraq","","6908075","IQi.028"
"Individual (개인)","SAB'AWI IBRAHIM HASSAN AL-TIKRITI","Iraq","","6908083","IQi.036"
"Individual (개인)","WATBAN IBRAHIM HASSAN AL-TIKRITI","Iraq","","6908084","IQi.037"
"Individual (개인)","BARZAN IBRAHIM HASSAN AL-TIKRITI","Iraq","","6908085","IQi.038"
"Individual (개인)","HUDA SALIH MAHDI AMMASH","Iraq","","6908086","IQi.039"
"Individual (개인)","YAHIA ABDALLAH AL-UBAIDI","Iraq","","6908091","IQi.044"
"Individual (개인)","NAYIF SHINDAKH THAMIR GHALIB","Iraq","","6908092","IQi.045"
"Individual (개인)","SAIF-AL-DIN AL-MASHHADANI","Iraq","","6908093","IQi.046"
"Individual (개인)","FADIL MAHMUD GHARIB","Iraq","","6908094","IQi.047"
"Individual (개인)","MUHSIN KHADR AL-KHAFAJI","Iraq","","6908095","IQi.048"
"Individual (개인)","Rashid Taan Kathim","Iraq","","6908096","IQi.049"
"Individual (개인)","UGLA ABID SAKR AL-ZUBAISI","Iraq","","6908097","IQi.050"
"Individual (개인)","GHAZI HAMMUD AL-UBAIDI","Iraq","","6908098","IQi.051"
"Individual (개인)","ADIL ABDALLAH MAHDI","Iraq","","6908099","IQi.052"
"Individual (개인)","KHAMIS SIRHAN AL-MUHAMMAD","Iraq","","6908101","IQi.054"
"Individual (개인)","SA'D ABD-AL-MAJID AL-FAISAL AL-TIKRITI","Iraq","","6908102","IQi.055"
"Individual (개인)","SAJIDA KHAYRALLAH TILFAH","Iraq","","6908103","IQi.056"
"Individual (개인)","RAGHAD SADDAM HUSSEIN AL-TIKRITI","Iraq","","6908104","IQi.057"
"Individual (개인)","RANA SADDAM HUSSEIN AL-TIKRITI","Iraq","","6908105","IQi.058"
"Individual (개인)","HALA SADDAM HUSSEIN AL-TIKRITI","Iraq","","6908106","IQi.059"
"Individual (개인)","SAMIRA SHAHBANDAR","Iraq","","6908107","IQi.060"
"Individual (개인)","ALI SADDAM HUSSEIN AL-TIKRITI","Iraq","","6908108","IQi.061"
"Individual (개인)","MOHAMMAD BARZAN IBRAHIM HASAN AL-TIKRITI","Iraq","1972-11-02","6908109","IQi.062"
"Individual (개인)","SAJA BARZAN IBRAHIM HASAN AL-TIKRITI","Iraq","1978-01-01","6908110","IQi.063"
"Individual (개인)","ALI BARZAN IBRAHIM HASAN AL-TIKRITI","Iraq","1981-04-18","6908111","IQi.064"
"Individual (개인)","NOOR BARZAN IBRAHIM HASAN AL-TIKRITI","Iraq","1983-11-02","6908112","IQi.065"
"Individual (개인)","KHAWLA BARZAN IBRAHIM HASAN AL-TIKRITI","Iraq","1986-12-03","6908113","IQi.066"
"Individual (개인)","THORAYA BARZAN IBRAHIM HASAN AL-TIKRITI","Iraq","1980-12-19","6908114","IQi.067"
"Individual (개인)","JAWHAR MAJID AL-DURI","Iraq","","6908115","IQi.068"
"Individual (개인)","Sundus Abd Al-Ghafur","Iraq","","6908116","IQi.069"
"Individual (개인)","NIDAL AL-RABI'I","Iraq","","6908117","IQi.070"
"Individual (개인)","INTISSAR AL-UBAYDI","Iraq","","6908118","IQi.071"
"Individual (개인)","ADNAN S. HASAN AHMED","Iraq","","6908120","IQi.073"
"Individual (개인)","ADIB SHABAN AL-ANI","Iraq","","6908123","IQi.076"
"Individual (개인)","ROODI SLEWA","Iraq","","6908126","IQi.079"
"Individual (개인)","MUHAMMAD YUNIS AHMAD","Iraq","","6908127","IQi.080"
"Individual (개인)","YASIR SABAWI IBRAHIM HASAN AL-TIKRITI","Iraq","1968-05-15","6908128","IQi.081"
"Individual (개인)","OMAR SABAWI IBRAHIM HASAN AL-TIKRITI","Iraq","","6908394","IQi.082"
"Individual (개인)","AYMAN SABAWI IBRAHIM HASAN AL-TIKRITI","Iraq","1971-10-21","6908129","IQi.083"
"Individual (개인)","IBRAHIM SABAWI IBRAHIM HASAN AL-TIKRITI","Iraq","1983-10-25","6908130","IQi.084"
"Individual (개인)","BASHAR SABAWI IBRAHIM HASAN AL-TIKRITI","Iraq","1970-07-17","6908131","IQi.085"
"Individual (개인)","SA’D SABAWI IBRAHIM HASAN AL-TIKRITI","Iraq","1988-09-19","6908132","IQi.086"
"Individual (개인)","FEREIDOUN ABBASI-DAVANI","","","110446","IRi.001"
"Individual (개인)","DAWOOD AGHA-JANI","","1957-04-23","110445","IRi.002"
"Individual (개인)","AZIM AGHAJANI","Iran (Islamic Republic of)","","110444","IRi.003"
"Individual (개인)","ALI AKBAR AHMADIAN","","","110443","IRi.004"
"Individual (개인)","AMIR MOAYYED ALAI","","","110442","IRi.005"
"Individual (개인)","BEHMAN ASGARPOUR","","","110441","IRi.006"
"Individual (개인)","MOHAMMAD FEDAI ASHIANI","","","110440","IRi.007"
"Individual (개인)","ABBAS REZAEE ASHTIANI","","","110439","IRi.008"
"Individual (개인)","BAHMANYAR MORTEZA BAHMANYAR","Iran (Islamic Republic of)","1952-12-31","110438","IRi.009"
"Individual (개인)","HALEH BAKHTIAR","","","110437","IRi.010"
"Individual (개인)","MORTEZA BEHZAD","","1959-06-07","110436","IRi.011"
"Individual (개인)","AHMAD VAHID DASTJERDI","","1954-01-15","110435","IRi.012"
"Individual (개인)","AHMAD DERAKHSHANDEH","","1956-08-11","110434","IRi.013"
"Individual (개인)","MOHAMMAD ESLAMI","","","110433","IRi.014"
"Individual (개인)","REZA-GHOLI ESMAELI","","1961-04-03","110432","IRi.015"
"Individual (개인)","MOHSEN FAKHRIZADEH-MAHABADI","","","110431","IRi.016"
"Individual (개인)","MOHAMMAD HEJAZI","","","110430","IRi.017"
"Individual (개인)","MOHSEN HOJATI","","1955-09-28","110429","IRi.018"
"Individual (개인)","SEYYED HUSSEIN HOSSEINI","","1973-07-27","110428","IRi.019"
"Individual (개인)","MEHRDADA AKHLAGHI KETABACHI","","1958-09-10","110427","IRi.020"
"Individual (개인)","ALI HAJINIA LEILABADI","","1950-02-19","110426","IRi.021"
"Individual (개인)","NASER MALEKI","","","110425","IRi.022"
"Individual (개인)","HAMID-REZA MOHAJERANI","Iran (Islamic Republic of)","1977-09-09","110424","IRi.023"
"Individual (개인)","JAFAR MOHAMMADI","","","110423","IRi.024"
"Individual (개인)","EHSAN MONAJEMI","","","110422","IRi.025"
"Individual (개인)","MOHAMMAD REZA NAQDI","","1949-02-11","110421","IRi.026"
"Individual (개인)","MOHAMMAD MEHDI NEJAD NOURI","","","110420","IRi.027"
"Individual (개인)","HOUSHANG NOBARI","","","110419","IRi.028"
"Individual (개인)","MOHAMMAD QANNADI","Iran (Islamic Republic of)","1952-10-13","110418","IRi.029"
"Individual (개인)","AMIR RAHIMI","","","110417","IRi.030"
"Individual (개인)","JAVAD RAHIQI","","1954-04-24","110416","IRi.031"
"Individual (개인)","ABBAS RASHIDI","","","110415","IRi.032"
"Individual (개인)","MORTEZA REZAIE","","","110414","IRi.033"
"Individual (개인)","M. JAVAD KARIMI SABET","","1973-07-25","110413","IRi.034"
"Individual (개인)","MORTEZA SAFARI","","","110412","IRi.035"
"Individual (개인)","YAHYA RAHIM SAFAVI","","","110411","IRi.036"
"Individual (개인)","SEYED JABER SAFDARI","","","110410","IRi.037"
"Individual (개인)","HOSEIN SALIMI","","","110409","IRi.038"
"Individual (개인)","QASEM SOLEIMANI","","1957-03-11","110408","IRi.039"
"Individual (개인)","GHASEM SOLEYMANI","","","110407","IRi.040"
"Individual (개인)","ALI AKBAR TABATABAEI","Iran (Islamic Republic of)","","110406","IRi.041"
"Individual (개인)","MOHAMMAD REZA ZAHEDI","","","110405","IRi.042"
"Individual (개인)","MOHAMMAD BAQER ZOLQADR","","","110404","IRi.043"
"Individual (개인)","YUN HO-JIN","Democratic People's Republic of Korea","1944-10-13","690734","KPi.001"
"Individual (개인)","RI JE-SON","Democratic People's Republic of Korea","","6908045","KPi.002"
"Individual (개인)","HWANG SOK-HWA","Democratic People's Republic of Korea","1943-09-26","690739","KPi.003"
"Individual (개인)","RI HONG-SOP","Democratic People's Republic of Korea","1940-02-26","690740","KPi.004"
"Individual (개인)","HAN YU-RO","Democratic People's Republic of Korea","","690741","KPi.005"
"Individual (개인)","PAEK CHANG-HO","Democratic People's Republic of Korea","1964-06-18","690747","KPi.006"
"Individual (개인)","CHANG MYONG-CHIN","Democratic People's Republic of Korea","1968-02-19","690743","KPi.007"
"Individual (개인)","RA KY'ONG-SU","Democratic People's Republic of Korea","1954-06-04","690744","KPi.008"
"Individual (개인)","KIM KWANG-IL","Democratic People's Republic of Korea","1969-09-01","690745","KPi.009"
"Individual (개인)","YO'N CHO'NG NAM","Democratic People's Republic of Korea","","690746","KPi.010"
"Individual (개인)","KO CH'O'L-CHAE","Democratic People's Republic of Korea","","690749","KPi.011"
"Individual (개인)","MUN CHO'NG-CH'O'L","Democratic People's Republic of Korea","1964-12-23","690750","KPi.012"
"Individual (개인)","CHOE CHUN-SIK","Democratic People's Republic of Korea","1954-10-12","6908500","KPi.013"
"Individual (개인)","CHOE SONG IL","Democratic People's Republic of Korea","","6908501","KPi.014"
"Individual (개인)","HYON KWANG IL","Democratic People's Republic of Korea","1961-05-27","6908502","KPi.015"
"Individual (개인)","JANG BOM SU","Democratic People's Republic of Korea","1957-04-15","6908503","KPi.016"
"Individual (개인)","JANG YONG SON","Democratic People's Republic of Korea","1957-02-20","6908505","KPi.017"
"Individual (개인)","JON MYONG GUK","Democratic People's Republic of Korea","1976-10-18","6908506","KPi.018"
"Individual (개인)","KANG MUN KIL","Democratic People's Republic of Korea","1963-02-09","6908507","KPi.019"
"Individual (개인)","KANG RYONG","Democratic People's Republic of Korea","1969-08-21","6908508","KPi.020"
"Individual (개인)","KIM JUNG JONG","Democratic People's Republic of Korea","1966-11-07","6908498","KPi.021"
"Individual (개인)","KIM KYU","Democratic People's Republic of Korea","1968-07-30","6908509","KPi.022"
"Individual (개인)","KIM TONG MY’ONG","Democratic People's Republic of Korea","1962-08-28","6908497","KPi.023"
"Individual (개인)","KIM YONG CHOL","Democratic People's Republic of Korea","1962-02-18","6908511","KPi.024"
"Individual (개인)","KO TAE HUN","Democratic People's Republic of Korea","1972-05-25","6908512","KPi.025"
"Individual (개인)","RI MAN GON","Democratic People's Republic of Korea","1945-10-29","6908513","KPi.026"
"Individual (개인)","RYU JIN","Democratic People's Republic of Korea","1965-08-07","6908514","KPi.027"
"Individual (개인)","YU CHOL U","Democratic People's Republic of Korea","1959-08-08","6908515","KPi.028"
"Individual (개인)","PAK CHUN IL","Democratic People's Republic of Korea","1954-07-28","6908554","KPi.029"
"Individual (개인)","KIM SONG CHOL","Democratic People's Republic of Korea","1968-03-26","6908558","KPi.030"
"Individual (개인)","SON JONG HYOK","Democratic People's Republic of Korea","1980-05-20","6908564","KPi.031"
"Individual (개인)","KIM SE GON","Democratic People's Republic of Korea","1969-11-13","6908573","KPi.032"
"Individual (개인)","RI WON HO","Democratic People's Republic of Korea","1964-07-17","6908555","KPi.033"
"Individual (개인)","JO YONG CHOL","Democratic People's Republic of Korea","1973-09-30","6908565","KPi.034"
"Individual (개인)","KIM CHOL SAM","Democratic People's Republic of Korea","1971-03-11","6908566","KPi.035"
"Individual (개인)","KIM SOK CHOL","Democratic People's Republic of Korea","1955-05-08","6908568","KPi.036"
"Individual (개인)","CHANG CHANG HA","Democratic People's Republic of Korea","1964-01-10","6908570","KPi.037"
"Individual (개인)","CHO CHUN RYONG","Democratic People's Republic of Korea","1960-04-04","6908571","KPi.038"
"Individual (개인)","SON MUN SAN","Democratic People's Republic of Korea","1951-01-23","6908572","KPi.039"
"Individual (개인)","CHO IL U","Democratic People's Republic of Korea","1945-05-10","6908580","KPi.040"
"Individual (개인)","CHO YON CHUN","Democratic People's Republic of Korea","1937-09-28","6908581","KPi.041"
"Individual (개인)","CHOE HWI","Democratic People's Republic of Korea","","6908582","KPi.042"
"Individual (개인)","JO YONG-WON","Democratic People's Republic of Korea","1957-10-24","6908583","KPi.043"
"Individual (개인)","KIM CHOL NAM","Democratic People's Republic of Korea","1970-02-19","6908584","KPi.044"
"Individual (개인)","KIM KYONG OK","Democratic People's Republic of Korea","","6908585","KPi.045"
"Individual (개인)","KIM TONG-HO","Democratic People's Republic of Korea","1969-08-18","6908586","KPi.046"
"Individual (개인)","MIN BYONG CHOL","Democratic People's Republic of Korea","1948-08-10","6908587","KPi.047"
"Individual (개인)","PAEK SE BONG","Democratic People's Republic of Korea","1938-03-21","6908588","KPi.048"
"Individual (개인)","PAK HAN SE","Democratic People's Republic of Korea","","6908589","KPi.049"
"Individual (개인)","PAK TO CHUN","Democratic People's Republic of Korea","1944-03-09","6908590","KPi.050"
"Individual (개인)","RI JAE IL","Democratic People's Republic of Korea","","6908591","KPi.051"
"Individual (개인)","RI SU YONG","Democratic People's Republic of Korea","1968-06-25","6908592","KPi.052"
"Individual (개인)","RI YONG MU","Democratic People's Republic of Korea","1925-01-25","6908593","KPi.053"
"Individual (개인)","CHOE CHUN YONG","Democratic People's Republic of Korea","","6908613","KPi.054"
"Individual (개인)","HAN JANG SU","Democratic People's Republic of Korea","1969-11-07","6908614","KPi.055"
"Individual (개인)","JANG SONG CHOL","Democratic People's Republic of Korea","1967-03-12","6908615","KPi.056"
"Individual (개인)","JANG SUNG NAM","Democratic People's Republic of Korea","1970-07-14","6908616","KPi.057"
"Individual (개인)","JO CHOL SONG","Democratic People's Republic of Korea","1984-09-25","6908617","KPi.058"
"Individual (개인)","KANG CHOL SU","Democratic People's Republic of Korea","1969-02-13","6908618","KPi.059"
"Individual (개인)","KIM MUN CHOL","Democratic People's Republic of Korea","1957-03-25","6908619","KPi.060"
"Individual (개인)","KIM NAM UNG","Democratic People's Republic of Korea","","6908620","KPi.061"
"Individual (개인)","Pak Il Kyu","Democratic People's Republic of Korea","","6908621","KPi.062"
"Individual (개인)","PAK YONG SIK","Democratic People's Republic of Korea","","6908626","KPi.063"
"Individual (개인)","CH'OE SO’K MIN","Democratic People's Republic of Korea","1978-07-25","6908640","KPi.064"
"Individual (개인)","CHU HYO’K","Democratic People's Republic of Korea","1986-11-22","6908641","KPi.065"
"Individual (개인)","KIM JONG SIK","Democratic People's Republic of Korea","","6908643","KPi.066"
"Individual (개인)","KIM KYONG IL","Democratic People's Republic of Korea","1979-08-01","6908644","KPi.067"
"Individual (개인)","KIM TONG CHOL","Democratic People's Republic of Korea","1966-01-27","6908645","KPi.068"
"Individual (개인)","KO CHOL MAN","Democratic People's Republic of Korea","1967-09-30","6908646","KPi.069"
"Individual (개인)","KU JA HYONG","Democratic People's Republic of Korea","1957-09-08","6908647","KPi.070"
"Individual (개인)","MUN KYONG HWAN","Democratic People's Republic of Korea","1967-08-22","6908648","KPi.071"
"Individual (개인)","PAE WON UK","Democratic People's Republic of Korea","1969-08-22","6908649","KPi.072"
"Individual (개인)","PAK BONG NAM","Democratic People's Republic of Korea","1969-05-06","6908650","KPi.073"
"Individual (개인)","RI CHUN HWAN","Democratic People's Republic of Korea","1957-08-21","6908652","KPi.074"
"Individual (개인)","RI CHUN SONG","Democratic People's Republic of Korea","1965-10-30","6908653","KPi.075"
"Individual (개인)","RI PYONG CHUL","Democratic People's Republic of Korea","","6908654","KPi.076"
"Individual (개인)","RI SONG HYOK","Democratic People's Republic of Korea","1965-03-19","6908655","KPi.077"
"Individual (개인)","RI U’N SO’NG","Democratic People's Republic of Korea","1969-07-22","6908656","KPi.078"
"Individual (개인)","PAK MUN IL","Democratic People's Republic of Korea","1965-01-01","6908651","KPi.079"
"Individual (개인)","TSANG YUNG YUAN","","1957-10-20","6908690","KPi.080"
"Individual (개인)","ABDULQADER MOHAMMED AL-BAGHDADI","","1950-07-01","690730","LYi.001"
"Individual (개인)","ABDULQADER YUSEF DIBRI","","","690731","LYi.002"
"Individual (개인)","SAYYID MOHAMMED QADHAF AL-DAM","","","690732","LYi.003"
"Individual (개인)","QUREN SALIH QUREN AL QADHAFI","","","690736","LYi.004"
"Individual (개인)","AMID HUSAIN AL KUNI","","","690737","LYi.005"
"Individual (개인)","ABU ZAYD UMAR DORDA","","1944-04-04","690738","LYi.006"
"Individual (개인)","ABU BAKR YUNIS JABIR","","","690748","LYi.007"
"Individual (개인)","MATUQ MOHAMMED MATUQ","","","690754","LYi.008"
"Individual (개인)","AISHA MUAMMAR MUHAMMED ABU MINYAR QADHAFI","","1978-01-01","690757","LYi.009"
"Individual (개인)","HANNIBAL MUAMMAR QADHAFI","","1975-09-20","690771","LYi.010"
"Individual (개인)","KHAMIS MUAMMAR QADHAFI","","","690772","LYi.011"
"Individual (개인)","MOHAMMED MUAMMAR QADHAFI","","","690773","LYi.012"
"Individual (개인)","MUAMMAR MOHAMMED ABU MINYAR QADHAFI","","","690774","LYi.013"
"Individual (개인)","MUTASSIM QADHAFI","","1974-02-05","690775","LYi.014"
"Individual (개인)","SAADI QADHAFI","","1973-05-27","690776","LYi.015"
"Individual (개인)","SAIF AL-ARAB QADHAFI","","","690777","LYi.016"
"Individual (개인)","SAIF AL-ISLAM QADHAFI","","1972-06-25","690778","LYi.017"
"Individual (개인)","ABDULLAH AL-SENUSSI","","","690779","LYi.018"
"Individual (개인)","SAFIA FARKASH AL-BARASSI","","","690780","LYi.019"
"Individual (개인)","Ermias Alem","Eritrea","","6908702","LYi.021"
"Individual (개인)","Fitiwi Abdelrazak","Eritrea","","6908703","LYi.022"
"Individual (개인)","Ahmad Oumar Imhamad al-Fitouri","Libya","1988-05-07","6908704","LYi.023"
"Individual (개인)","Mus’ab Mustafa Abu al Qassim Omar","Libya","1983-01-19","6908705","LYi.024"
"Individual (개인)","Mohammed Al Amin Al-Arabi Kashlaf","Libya","1985-12-02","6908706","LYi.025"
"Individual (개인)","Abd Al-Rahman SALIM IBRAHIM AL-MILAD","Libya","1986-07-27","6908707","LYi.026"
"Individual (개인)","Ibrahim Saeed Salim Jadhran","Libya","1982-10-29","6908715","LYi.027"
